sample,geneRLF,nanostring.date,cartridgeID,lane.number,fov.count,fov.counted,binding.density,linPC,linFlag,perFOV,imagingFlag,lod,llod,spcFlag,gd,pergd,averageHK,sn,bdFlag,normFlag,QCFlag
20181129_OTTA3-003-SYD-20H_TVAN22430_05,OTTA2018_C6830,2018-11-29,OTTA3-003-SYD-20H,5,555,544,1.53,1,Passed,98.01801801801801,Passed,26.08073510902474,-4.08073510902474,Passed,55,100,665465.6274896077,25515.600871976036,Passed,Passed,Passed
20181129_OTTA3-003-SYD-20H_TVAN23027_12,OTTA2018_C6830,2018-11-29,OTTA3-003-SYD-20H,12,555,541,1.52,1,Passed,97.47747747747748,Passed,26.894826710639244,-0.1448267106392418,Passed,54,98.18181818181819,687731.8519366812,25571.15758119473,Passed,Passed,Passed
20181129_OTTA3-003-SYD-20H_TVAN23091_09,OTTA2018_C6830,2018-11-29,OTTA3-003-SYD-20H,9,555,526,1.48,1,Passed,94.77477477477477,Passed,21.00850499936068,-0.25850499936067983,Passed,55,100,1518284.5258146666,72269.99378874747,Passed,Passed,Passed
20181129_OTTA3-003-SYD-20H_TVAN23619_01,OTTA2018_C6830,2018-11-29,OTTA3-003-SYD-20H,1,555,534,2.24,1,Passed,96.21621621621622,Passed,24.921180068162375,0.07881993183762503,Passed,54,98.18181818181819,476681.1030106772,19127.549406043294,Passed,Passed,Passed
20181129_OTTA3-003-SYD-20H_TVAN23683_02,OTTA2018_C6830,2018-11-29,OTTA3-003-SYD-20H,2,555,538,1.93,1,Passed,96.93693693693693,Passed,29.69901622423138,-3.6990162242313787,Passed,55,100,852736.9955457201,28712.634422212726,Passed,Passed,Passed
20181129_OTTA3-004-SYD-20H_DOVE42133_12,OTTA2018_C6830,2018-11-29,OTTA3-004-SYD-20H,12,555,550,0.14,1,Passed,99.09909909909909,Passed,30.093906976780232,-6.343906976780232,Passed,29,52.72727272727272,1283.987361713032,42.66602414580889,Passed,Failed,Passed
20181129_OTTA3-004-SYD-20H_DOVE42277_02,OTTA2018_C6830,2018-11-29,OTTA3-004-SYD-20H,2,555,554,0.83,1,Passed,99.81981981981983,Passed,14.616354624907157,-0.8663546249071574,Passed,55,100,389907.0308153586,26676.07901021595,Passed,Passed,Passed
20181129_OTTA3-004-SYD-20H_TAOC02479_07,OTTA2018_C6830,2018-11-29,OTTA3-004-SYD-20H,7,555,554,0.29,1,Passed,99.81981981981983,Passed,4.587405363721075,-0.837405363721075,Passed,55,100,401853.98865138995,87599.4068083458,Passed,Passed,Passed
20181129_OTTA3-004-SYD-20H_TAOC10274_08,OTTA2018_C6830,2018-11-29,OTTA3-004-SYD-20H,8,555,553,0.3,1,Passed,99.63963963963964,Passed,12.928203230275509,-0.9282032302755088,Passed,55,100,841762.6256752107,65110.56568974374,Passed,Passed,Passed
20181129_OTTA3-004-SYD-20H_TNCO00900_09,OTTA2018_C6830,2018-11-29,OTTA3-004-SYD-20H,9,555,547,0.19,1,Passed,98.55855855855856,Passed,20.801128578133454,-2.3011285781334543,Passed,52,94.54545454545455,74200.7288592855,3567.1491852267445,Passed,Passed,Passed
20181129_OTTA3-004-SYD-20H_TNCO01161_10,OTTA2018_C6830,2018-11-29,OTTA3-004-SYD-20H,10,555,555,0.34,1,Passed,100,Passed,23.1214279334456,3.1285720665544012,Passed,54,98.18181818181819,721400.0521047998,31200.49739926661,Passed,Passed,Passed
20181129_OTTA3-004-SYD-20H_TPOL00396_05,OTTA2018_C6830,2018-11-29,OTTA3-004-SYD-20H,5,555,552,0.62,1,Passed,99.45945945945947,Passed,23.2664991614216,-3.2664991614215992,Passed,55,100,1685357.7409739743,72437.10062614326,Passed,Passed,Passed
20181129_OTTA3-004-SYD-20H_TPOL00517_11,OTTA2018_C6830,2018-11-29,OTTA3-004-SYD-20H,11,555,549,0.5,1,Passed,98.91891891891892,Passed,31.184406173077154,1.0655938269228464,Passed,55,100,806232.4041107639,25853.703919711617,Passed,Passed,Passed
20181129_OTTA3-004-SYD-20H_TVAN20453_01,OTTA2018_C6830,2018-11-29,OTTA3-004-SYD-20H,1,555,548,0.8,1,Passed,98.73873873873875,Passed,17.156189202104507,1.093810797895495,Passed,55,100,971022.5213000919,56598.96319988002,Passed,Passed,Passed
20181129_OTTA3-004-SYD-20H_TVAN22479_06,OTTA2018_C6830,2018-11-29,OTTA3-004-SYD-20H,6,555,552,0.82,1,Passed,99.45945945945947,Passed,40.96476255857523,-17.214762558575234,Passed,55,100,1253602.9161146185,30601.981747656915,Passed,Passed,Passed
20181129_OTTA3-004-SYD-20H_TWMH00718_04,OTTA2018_C6830,2018-11-29,OTTA3-004-SYD-20H,4,555,553,0.27,1,Passed,99.63963963963964,Passed,10.056770435262516,-2.306770435262516,Passed,54,98.18181818181819,293255.87861491094,29160.04501670381,Passed,Passed,Passed
